filename,title,source,url,topic,subtopic,difficulty,date_retrieved,word_count
raw_docs/beginner_concepts/bond_concepts.md,"Bond Funds and Income Funds",investor.gov,https://www.investor.gov/introduction-investing/investing-basics/glossary/bond-funds-and-income-funds,beginner_concepts,stocks,beginner,2026-05-09,640
raw_docs/beginner_concepts/bull_bear.md,"What is a bull market?",,,,,,,,1535
raw_docs/beginner_concepts/dvidends_market_cap_shares.md,"Definition",,,,,,,,1412
raw_docs/beginner_concepts/ETF.md,"Exchange-Traded Funds (ETFs)",investor.gov,https://www.investor.gov/introduction-investing/investing-basics/investment-products/mutual-funds-and-exchange-traded-2,beginner_concepts,stocks,beginner,2026-05-09,1371
raw_docs/beginner_concepts/stock_concepts.md,"Stock Fund",investor.gov,https://www.investor.gov/introduction-investing/investing-basics/glossary/stock-fund,beginner_concepts,stocks,beginner,2026-05-09,248
raw_docs/market_mechanics/bid_ask_spread.md,"Definition",,,,,,,,2131
raw_docs/market_mechanics/IPO.md,"Investing in an IPO",sec.gov,https://www.sec.gov/files/ipo-investorbulletin.pdf,market_mechanics,IPO,beginner,2026-05-09,3671
raw_docs/market_mechanics/order_type.md,"Stock Order Types Explained: Market vs. Limit Order",investopedia.com,https://www.investopedia.com/investing/basics-trading-stock-know-your-orders/,market_mechanics,"stock order types",beginner,2026-05-09,1504
raw_docs/market_mechanics/stock_exchange.md,"Understanding Different Types of Stock Exchanges: An Essential Guide",investopedia.com,https://www.investopedia.com/articles/basics/04/092404.asp,beginner_concepts,market_mechanics,beginner,2026-05-09,3191
raw_docs/market_mechanics/trade_hours.md,"Pre-Market and After-Hours Trading",investopedia.com,https://www.investopedia.com/ask/answers/06/preaftermarket.asp,market_mechanics,"trade hours",beginner,2026-05-09,1918
